6.121, 6.124, 6.117, 6.125, 6.123, 6.122, 6.119, 6.122, 6.125, 6.124, 6.120, 6.125, 6.127, 6.123, 6.120, 6.125
6.120, 6.125, 6.123, 6.119, 6.114, 6.120, 6.126, 6.121, 6.125, 6.124, 6.128, 6.126, 6.125, 6.123, 6.123, 6.120
6.119, 6.122, 6.119, 6.122, 6.120, 6.123, 6.127, 6.123, 6.121, 6.122, 6.125, 6.127, 6.127, 6.127, 6.125, 6.129
6.119, 6.120, 6.121, 6.116, 6.116, 6.138, 6.119, 6.125, 6.120, 6.123, 6.124, 6.124, 6.125, 6.121, 6.123, 6.125
6.119, 6.121, 6.122, 6.128, 6.124, 6.120, 6.139, 6.129, 6.125, 6.127, 6.123, 6.124, 6.127, 6.128, 6.123, 6.125
6.119, 6.124, 6.122, 6.120, 6.121, 6.144, 6.206, 6.247, 6.197, 6.130, 6.125, 6.124, 6.124, 6.123, 6.127, 6.123
6.119, 6.124, 6.123, 6.117, 6.123, 6.245, 6.310, 6.372, 6.371, 6.210, 6.133, 6.128, 6.123, 6.119, 6.127, 6.121
6.119, 6.121, 6.124, 6.123, 6.263, 6.399, 6.357, 6.382, 6.352, 6.300, 6.131, 6.132, 6.123, 6.123, 6.126, 6.127
6.120, 6.123, 6.123, 6.124, 6.227, 6.356, 6.397, 6.343, 6.365, 6.351, 6.278, 6.128, 6.134, 6.126, 6.123, 6.125
6.122, 6.126, 6.118, 6.119, 6.167, 6.371, 6.357, 6.379, 6.443, 6.342, 6.344, 6.124, 6.126, 6.119, 6.128, 6.128
6.123, 6.117, 6.124, 6.166, 6.136, 6.325, 6.429, 6.406, 6.387, 6.304, 6.328, 6.123, 6.129, 6.121, 6.126, 6.125
6.121, 6.117, 6.119, 6.121, 6.120, 6.298, 6.313, 6.233, 6.206, 6.131, 6.134, 6.126, 6.128, 6.122, 6.119, 6.121
6.117, 6.123, 6.123, 6.114, 6.125, 6.124, 6.123, 6.150, 6.179, 6.116, 6.121, 6.119, 6.130, 6.122, 6.126, 6.125
6.119, 6.125, 6.119, 6.118, 6.124, 6.119, 6.122, 6.120, 6.132, 6.121, 6.126, 6.122, 6.124, 6.122, 6.120, 6.120
6.119, 6.122, 6.123, 6.123, 6.127, 6.125, 6.124, 6.124, 6.124, 6.119, 6.121, 6.123, 6.123, 6.117, 6.123, 6.121
6.116, 6.124, 6.120, 6.122, 6.118, 6.116, 6.124, 6.121, 6.123, 6.121, 6.124, 6.126, 6.124, 6.121, 6.123, 6.121
